Order ID,Date,Fulfilment,Sales Channel ,Item,Amount,ship-state
406-1590113-9193914,04-30-22,Amazon,Amazon.in,Set,654,WEST BENGAL
404-0363929-8015528,04-30-22,Amazon,Amazon.in,Top,588,MAHARASHTRA
407-7173744-5333154,04-30-22,Merchant,Amazon.in,kurta,497,DELHI
405-6880044-2861120,04-30-22,Amazon,Amazon.in,kurta,517,RAJASTHAN
403-4337144-0984323,04-30-22,Amazon,Amazon.in,Top,,JAMMU & KASHMIR
171-1851948-5476361,04-30-22,Amazon,Amazon.in,Set,1115,MANIPUR
171-5810429-4493110,04-30-22,Amazon,Amazon.in,Set,582,WEST BENGAL
171-1068229-1581965,04-30-22,Amazon,Amazon.in,Set,449,WEST BENGAL
402-2105140-3584364,04-30-22,Amazon,Amazon.in,kurta,375,KARNATAKA
403-3561336-3563535,04-30-22,Amazon,Amazon.in,Set,771,Gujarat
402-9532672-5385917,04-30-22,Amazon,Amazon.in,kurta,399,TAMIL NADU
408-4547464-4180323,04-30-22,Merchant,Amazon.in,kurta,0,ODISHA
402-2211107-5096323,04-30-22,Amazon,Amazon.in,Set,654,UTTAR PRADESH
403-9412025-7537140,04-30-22,Amazon,Amazon.in,kurta,424,KERALA
403-5456917-5571511,04-30-22,Amazon,Amazon.in,Western Dress,,UTTAR PRADESH
171-8452330-4756317,04-30-22,Amazon,Amazon.in,Top,432,MAHARASHTRA
171-4350114-4299568,04-30-22,Merchant,Amazon.in,Top,399,MAHARASHTRA
405-8692900-3888310,04-30-22,Amazon,Amazon.in,kurta,399,KARNATAKA
402-6750101-3923558,04-30-22,Amazon,Amazon.in,Set,597,KERALA
403-5725327-6264327,04-30-22,Amazon,Amazon.in,Top,463,UTTAR PRADESH
403-5209693-1173944,04-30-22,Amazon,Amazon.in,kurta,484,UTTAR PRADESH
403-8255889-7526765,04-30-22,Amazon,Amazon.in,kurta,635,BIHAR
407-3554912-7244363,04-30-22,Amazon,Amazon.in,kurta,685,ASSAM
407-4737202-9096304,04-30-22,Merchant,Amazon.in,Western Dress,725,BIHAR
171-2842936-5423534,04-30-22,Amazon,Amazon.in,Top,487,KARNATAKA
407-4936046-5852304,04-30-22,Merchant,Amazon.in,Set,1249.11,HARYANA
407-4936046-5852304,04-30-22,Merchant,Amazon.in,Set,1058.93,HARYANA
402-9580874-3525948,04-30-22,Amazon,Amazon.in,Set,696,KERALA
404-7426070-1355530,04-30-22,Amazon,Amazon.in,kurta,329,TELANGANA
406-4878137-1126707,04-30-22,Amazon,Amazon.in,kurta,517,MAHARASHTRA
171-3505516-3505949,04-30-22,Amazon,Amazon.in,Set,591,MAHARASHTRA
406-6199849-7523514,04-30-22,Amazon,Amazon.in,kurta,406,KERALA
